380	219	70	65	74	295	151	378	104	104	50	36	111	120	66
385	239	79	68	83	306	203	459	129	127	54	36	121	103	62
390	252	89	70	93	310	265	524	170	161	59	37	127	90	58
395	256	101	72	105	312	339	546	240	211	63	38	129	82	55
400	256	111	73	116	313	410	551	319	264	66	39	127	76	52
405	254	116	73	121	315	464	555	416	313	67	39	121	68	52
410	252	118	74	124	319	492	559	462	341	68	40	116	64	51
415	248	120	74	126	322	508	560	482	352	69	41	112	65	50
420	244	121	74	128	326	517	561	490	359	69	42	108	75	50
425	240	122	73	131	330	524	558	488	361	70	42	105	93	49
430	237	122	73	135	334	531	556	482	364	72	43	104	123	48
435	232	122	73	139	339	538	551	473	365	73	44	104	160	47
440	230	123	73	144	346	544	544	462	367	76	44	105	207	46
445	226	124	73	151	352	551	535	450	369	78	45	106	256	44
450	225	127	74	161	360	556	522	439	372	83	45	110	300	42
455	222	128	75	172	369	556	506	426	374	88	46	115	331	41
460	220	131	77	186	381	554	488	413	376	95	47	123	346	38
465	218	134	80	205	394	549	469	397	379	103	48	134	347	35
470	216	138	85	229	403	541	448	382	384	113	50	148	341	33
475	214	143	94	254	410	531	429	366	389	125	52	167	328	31
480	214	150	109	281	415	519	408	352	397	142	55	192	307	30
485	214	159	126	308	418	504	385	337	405	162	57	219	282	29
490	216	174	148	332	419	488	363	325	416	189	62	252	257	28
495	218	190	172	352	417	469	341	310	429	219	67	291	230	28
500	223	207	198	370	413	450	324	299	443	262	75	325	204	28
505	225	225	221	383	409	431	311	289	454	305	83	347	178	29
510	226	242	241	390	403	414	301	283	461	365	92	356	154	30
515	226	253	260	394	396	395	291	276	466	416	100	353	129	30
520	225	260	278	395	389	377	283	270	469	465	108	346	109	31
525	225	264	302	392	381	358	273	262	471	509	121	333	90	31
530	227	267	339	385	372	341	265	256	474	546	133	314	75	32
535	230	269	370	377	363	325	260	251	476	581	142	294	62	32
540	236	272	392	367	353	309	257	250	483	610	150	271	51	33
545	245	276	399	354	342	293	257	251	490	634	154	248	41	34
550	253	282	400	341	331	279	259	254	506	653	155	227	35	35
555	262	289	393	327	320	265	260	258	526	666	152	206	29	37
560	272	299	380	312	308	253	260	264	553	678	147	188	25	41
565	283	309	365	296	296	241	258	269	582	687	140	170	22	44
570	298	322	349	280	284	234	256	272	618	693	133	153	19	48
575	318	329	332	263	271	227	254	274	651	698	125	138	17	52
580	341	335	315	247	260	225	254	278	680	701	118	125	17	60
585	367	339	299	229	247	222	259	284	701	704	112	114	17	76
590	390	341	285	214	232	221	270	295	717	705	106	106	16	102
595	409	341	272	198	220	220	284	316	729	705	101	100	16	136
600	424	342	264	185	210	220	302	348	736	706	98	96	16	190
605	435	342	257	175	200	220	324	384	742	707	95	92	16	256
610	442	342	252	169	194	220	344	434	745	707	93	90	16	336
615	448	341	247	164	189	220	362	482	747	707	90	87	16	418
620	450	341	241	160	185	223	377	528	748	708	89	85	16	505
625	451	339	235	156	183	227	389	568	748	708	87	82	16	581
630	451	339	229	154	180	233	400	604	748	710	86	80	18	641
635	451	338	224	152	177	239	410	629	748	711	85	79	18	682
640	451	338	220	151	176	244	420	648	748	712	84	78	18	717
645	451	337	217	149	175	251	429	663	748	714	84	78	18	740
650	450	336	216	148	175	258	438	676	748	716	84	78	19	758
655	450	335	216	148	175	263	445	685	748	718	84	78	20	770
660	451	334	219	148	175	268	452	693	747	720	85	81	23	781
665	451	332	224	149	177	273	457	700	747	722	87	83	24	790
670	453	332	230	151	180	278	462	705	747	725	92	88	26	797
675	454	331	238	154	183	281	466	709	747	729	96	93	30	803
680	455	331	251	158	186	283	468	712	747	731	102	102	35	809
685	457	330	269	162	189	286	470	715	747	735	110	112	43	814
690	458	329	288	165	192	291	473	717	747	739	123	125	56	819
695	460	328	312	168	195	296	477	719	746	742	137	141	74	824
700	462	328	340	170	199	302	483	721	746	746	152	161	97	828
705	463	327	366	171	200	313	489	720	746	748	169	182	128	830
710	464	326	390	170	199	325	496	719	745	749	188	203	166	831
715	465	325	412	168	198	338	503	722	744	751	207	223	210	833
720	466	324	431	166	196	351	511	725	743	753	226	242	257	835
725	466	324	447	164	195	364	518	727	744	754	243	257	305	836
730	466	324	460	164	195	376	525	729	745	755	260	270	354	836
735	466	323	472	165	196	389	532	730	748	755	277	282	401	837
740	467	322	481	168	197	401	539	730	750	755	294	292	446	838
745	467	321	488	172	200	413	546	730	750	755	310	302	485	839
750	467	320	493	177	203	425	553	730	749	756	325	310	520	839
