T	uv	vt	tt
1754.386	0.32770681	0.36034125	-35.714062
1751.3135	0.32802646	0.36035008	-36.631057
1748.2517	0.32834597	0.36035869	-37.590832
1745.2007	0.32866535	0.36036708	-38.596437
1742.1603	0.3289846	0.36037524	-39.651217
1739.1304	0.32930371	0.36038318	-40.758854
1736.1111	0.32962268	0.3603909	-41.923404
1733.1023	0.32994152	0.36039839	-43.14935
1730.1038	0.33026023	0.36040567	-44.441659
1727.1157	0.33057879	0.36041273	-45.805847
1724.1379	0.33089722	0.36041958	-47.248061
1721.1704	0.33121551	0.36042621	-48.775167
1718.2131	0.33153366	0.36043263	-50.394863
1715.2659	0.33185167	0.36043883	-52.115806
1712.3288	0.33216954	0.36044483	-53.947767
1709.4017	0.33248726	0.36045062	-55.901815
1706.4846	0.33280485	0.3604562	-57.990543
1703.5775	0.33312229	0.36046157	-60.228335
1700.6803	0.33343959	0.36046673	-62.631702
1697.7929	0.33375675	0.3604717	-65.219684
1694.9153	0.33407376	0.36047646	-68.01436
1692.0474	0.33439063	0.36048102	-71.041472
1689.1892	0.33470735	0.36048538	-74.331225
1686.3406	0.33502393	0.36048954	-77.919292
1683.5017	0.33534035	0.3604935	-81.848114
1680.6723	0.33565664	0.36049727	-86.168583
1677.8523	0.33597277	0.36050084	-90.942257
1675.0419	0.33628876	0.36050422	-96.244308
1672.2408	0.33660459	0.36050741	-102.1675
1669.4491	0.33692028	0.3605104	-108.82768
1666.6667	0.33723582	0.36051321	-116.37139
