Wavelength,Melatonin CA%,Standard Deviation,Fit,Residual,Residual ABS,Variance in,Weights normalized
420,0.281868969019807,0,0.555205460699883,0.273336491680076,0.273336491680076,1,1
440,1,0,0.768857290618755,-0.231142709381245,0.231142709381245,1,1
460,0.960893854748603,0,0.931994751078109,-0.0288991036704942,0.0288991036704942,1,1
480,0.640934484509904,0,0.999425609894486,0.358491125384582,0.358491125384582,1,1
505,0.635855764347384,0,0.905584937603647,0.269729173256263,0.269729173256263,1,1
530,0.28542407313357,0,0.575168312307755,0.289744239174185,0.289744239174185,1,1
555,0.0558659217877095,0,0.200227735162036,0.144361813374326,0.144361813374326,1,1
575,0.0248857287963433,0,0.0519050928008362,0.0270193640044929,0.0270193640044929,1,1
600,0,0,0.0262840546304899,0.0262840546304899,0.0262840546304899,1,1
