Wavelength,Melatonin CA%,Standard Deviation,Fit,Residual,Residual ABS,Variance in,Weights normalized
420,0.281868969019807,0,0.555205460699883,0.273336491680076,0.273336491680076,1,1
440,1,0,0.768857290618756,-0.231142709381244,0.231142709381244,1,1
460,0.960893854748603,0,0.931994751078109,-0.0288991036704942,0.0288991036704942,1,1
480,0.640934484509904,0,0.999425609894485,0.358491125384582,0.358491125384582,1,1
505,0.635855764347384,0,0.905584937603641,0.269729173256256,0.269729173256256,1,1
530,0.28542407313357,0,0.575168312307723,0.289744239174153,0.289744239174153,1,1
555,0.0558659217877095,0,0.200227736302337,0.144361814514628,0.144361814514628,1,1
575,0.0248857287963433,0,0.0519186295539719,0.0270329007576286,0.0270329007576286,1,1
600,0,0,0.0263460649050682,0.0263460649050682,0.0263460649050682,1,1
