Wavelength,Spectrum Fit
380,0.344734877938232
381,0.344412635500981
382,0.344304788423188
383,0.344423391298525
384,0.344780081316465
385,0.34538602931375
386,0.346251891321985
387,0.347387760910552
388,0.348803122632564
389,0.350506806887716
390,0.352506946519517
391,0.354810935465356
392,0.357425389775872
393,0.360356111315205
394,0.363608054445641
395,0.367185295988924
396,0.371091008742031
397,0.375327438807415
398,0.379895886976752
399,0.384796694383019
400,0.390029232608485
401,0.395591898406011
402,0.40148211315817
403,0.407696327163369
404,0.414230028800628
405,0.421077758585382
406,0.42823312808798
407,0.435688843644862
408,0.44343673475027
409,0.45146778697425
410,0.459772179211113
411,0.468339325022179
412,0.477157917797843
413,0.486215979427576
414,0.495500912132748
415,0.504999553086828
416,0.514698231420931
417,0.524582827190296
418,0.534638831859598
419,0.544851409852091
420,0.555205460699883
421,0.565685681330234
422,0.576276628025616
423,0.58696277760346
424,0.597728587374906
425,0.608558553460044
426,0.619437267060167
427,0.630349468314596
428,0.641280097400661
429,0.652214342569559
430,0.663137684847765
431,0.674035939172633
432,0.684895291771281
433,0.695702333633173
434,0.706444089968273
435,0.717108045583714
436,0.727682166152044
437,0.738154915382626
438,0.748515268144344
439,0.75875271962183
440,0.768857290618755
441,0.778819529149951
442,0.788630508488995
443,0.798281821859434
444,0.807765573975692
445,0.817074369654219
446,0.826201299726334
447,0.835139924491905
448,0.843884254957402
449,0.852428732103361
450,0.860768204425055
451,0.868897903986475
452,0.876813421221866
453,0.884510678711388
454,0.891985904148284
455,0.899235602704427
456,0.906256528989877
457,0.913045658790084
458,0.919600160752075
459,0.925917368178736
460,0.931994751078109
461,0.93782988860292
462,0.943420442004531
463,0.948764128215236
464,0.953858694163454
465,0.95870189191834
466,0.963291454753203
467,0.967625074211602
468,0.971700378255643
469,0.975514910573219
470,0.979066111119495
471,0.982351297968112
472,0.985367650549012
473,0.988112194352827
474,0.990581787185938
475,0.992773107065861
476,0.99468264185326
477,0.996306680724258
478,0.997641307595227
479,0.998682396620729
480,0.999425609894486
481,0.999866397491758
482,1
483,0.999821453691818
484,0.9993255984998
485,0.998507088956873
486,0.997360408266325
487,0.995879885663921
488,0.994059717227703
489,0.991893990280702
490,0.989376711515252
491,0.986501838945655
492,0.983263317767222
493,0.979655120164499
494,0.975671289068442
495,0.971305985812371
496,0.966553541579082
497,0.961408512467678
498,0.955865737937365
499,0.949920402311029
500,0.943568098940409
501,0.936804896554357
502,0.929627407228449
503,0.922032855335825
504,0.914019146762246
505,0.905584937603647
506,0.896729701504222
507,0.887453794752238
508,0.877758518220923
509,0.867646175233302
510,0.857120124439774
511,0.846184826831468
512,0.834845886064362
513,0.823110081349138
514,0.81098539225868
515,0.798481014922476
516,0.785607369215431
517,0.772376096689723
518,0.758800049163658
519,0.744893268035087
520,0.730670954552607
521,0.716149431424281
522,0.701346096296649
523,0.686279367743031
524,0.670968624528524
525,0.655434138967681
526,0.639697005265136
527,0.623779063746312
528,0.607702821843723
529,0.59149137272451
530,0.575168312307755
531,0.558757655389459
532,0.542283751426072
533,0.525771200442544
534,0.509244769366844
535,0.492729308962703
536,0.47624967140306
537,0.459830628363162
538,0.443496789501706
539,0.427272521004232
540,0.411181863877485
541,0.395248451697255
542,0.37949542757545
543,0.363945359773961
544,0.348620156506293
545,0.333540978993014
546,0.318728154131196
547,0.304201086079013
548,0.28997816824693
549,0.276076695788842
550,0.262512780613546
551,0.249301268575668
552,0.236455663204833
553,0.223988053959831
554,0.211909051253243
555,0.200227735162036
556,0.188951612259533
557,0.178086586175744
558,0.167636947732575
559,0.157605365050634
560,0.147992922137889
561,0.138799165145978
562,0.130022112372987
563,0.12165843286031
564,0.113703534816228
565,0.106151773331885
566,0.0989965771343657
567,0.0922309091905787
568,0.0858481019758648
569,0.0798418114706085
570,0.0742086956928268
571,0.0689478578809796
572,0.0640671766230823
573,0.0595802473114444
574,0.0555118993699154
575,0.0519050928008362
576,0.0487736182280306
577,0.0461314476823022
578,0.0439930727050341
579,0.0422479518992547
580,0.0408863127430939
581,0.0397588102987034
582,0.038821200121028
583,0.0379850956641273
584,0.0372157763825802
585,0.0364930039093125
586,0.035768338082932
587,0.0350720154292685
588,0.034363232965086
589,0.0336395395013123
590,0.0329363040216963
591,0.0322522594179133
592,0.0315492769946113
593,0.0308634259403107
594,0.030193790527677
595,0.0295024419865739
596,0.0288626341169331
597,0.0281994430315187
598,0.027549124172769
599,0.0269109084867113
600,0.0262840546304899
601,0.0256678500904225
602,0.0250616121158478
603,0.0244646883972526
604,0.023839406025368
605,0.0232592773954682
606,0.0226496399903713
607,0.022084067586057
608,0.0214879581687831
609,0.0208978933437069
610,0.020313431723491
611,0.0197341594263073
612,0.0191967404880452
613,0.0186267099891147
614,0.0180978330235875
615,0.0175356919773264
616,0.0170140969021721
617,0.0164586727827444
618,0.0159432699232323
619,0.0154676541353117
620,0.0149575056199325
621,0.0144867265489185
622,0.0140180799099092
623,0.0135513942804776
624,0.0130865114255714
625,0.0126232853854107
626,0.0121615816103689
627,0.0117012761429976
628,0.0112422548468362
629,0.0107844126812239
630,0.0103276530209883
631,0.00990893846388458
632,0.00949113590285511
633,0.0090741703040352
634,0.0086950241902559
635,0.00831658282813603
636,0.00793878811523059
637,0.00759863816689304
638,0.00725903260093354
639,0.00695697796086359
640,0.00665538161189231
641,0.00635420577191509
642,0.00605341578886032
643,0.00579003132837734
644,0.00552697180472164
645,0.00526421049604895
646,0.0050017229000686
647,0.00473948655009512
648,0.00451453229028004
649,0.00428978978754929
650,0.00402819027758492
651,0.00384087221105779
652,0.00360925640206059
653,0.0034074323826454
654,0.00321686218099939
655,0.00303382941725447
656,0.00285832378536291
657,0.00269404097534424
658,0.00253726716876122
659,0.00238799440672937
660,0.00224621538569873
661,0.00211562854711318
662,0.00198881744954201
663,0.00186948158929956
664,0.00175391063623857
665,0.00164951011735349
666,0.00154516022608146
667,0.00145197237868229
668,0.00136253259595164
669,0.001276837487106
670,0.00119488393610758
671,0.00112037422335672
672,0.00104960057158803
673,0.000978855415648892
674,0.000915546818305167
675,0.000855967587671453
676,0.000800115840249126
677,0.000747989843058063
678,0.000695882856891453
679,0.000651203702732208
680,0.000606540740416762
681,0.00056559787013402
682,0.000524668801592562
683,0.000491162768176976
684,0.000453963364217899
685,0.000424185126975078
686,0.000390711797360306
687,0.000363917018523917
688,0.000337130828633286
689,0.000312575667102148
690,0.000290250936943235
691,0.000269415058529198
692,0.000250438038124149
693,0.000233319406731472
694,0.000216947188102369
695,0.000202062011423617
696,0.000187922478711347
697,0.000174898763499878
698,0.000162620036413256
699,0.000151086006456707
700,0.00014066691914403
701,0.000130621497004636
702,0.000121690539098019
703,0.000113132804014853
