Wavelength,Spectrum Fit
380,0.102769895192369
381,0.102673828416314
382,0.10264167562364
383,0.10267703045644
384,0.102783362122734
385,0.102964000804034
386,0.103222123210831
387,0.103560738375218
388,0.103982673772387
389,0.104490561864567
390,0.10508696193794
391,0.105773862520712
392,0.106553350282703
393,0.107427179089956
394,0.10839688623481
395,0.109463812370107
396,0.110629107501113
397,0.1118940832223
398,0.113260635762183
399,0.114732128424604
400,0.116317760775838
401,0.118041490601631
402,0.119964342639885
403,0.12224953588369
404,0.125293786192655
405,0.129951619305524
406,0.137293860226595
407,0.148326073176466
408,0.163131694431634
409,0.180175830691039
410,0.200601716002434
411,0.22138079197645
412,0.244167890605956
413,0.268900054373135
414,0.294621692870523
415,0.321317084522003
416,0.349908372461295
417,0.379462738766407
418,0.409975261080321
419,0.440517767927641
420,0.471089203875536
421,0.499823938910677
422,0.528585541823013
423,0.556438028386548
424,0.584318178040438
425,0.612219417121067
426,0.640143426009374
427,0.669950748367144
428,0.698846313082998
429,0.726834625362385
430,0.753908742286153
431,0.778211339876064
432,0.801597394792579
433,0.82313896462697
434,0.8437642550604
435,0.864398591827653
436,0.885970230062775
437,0.906621776637654
438,0.927278616806455
439,0.945148203050029
440,0.960232129941269
441,0.970667485408494
442,0.978311674607436
443,0.983169340644239
444,0.987095315022708
445,0.990091099100438
446,0.994016808676638
447,0.997940177527758
448,1
449,0.999271986831477
450,0.993874264518158
451,0.98474828522872
452,0.970964701147929
453,0.955309844117477
454,0.937784117032526
455,0.921201739011429
456,0.905506531287466
457,0.889823564117497
458,0.876011896831736
459,0.862154907628389
460,0.849238130978587
461,0.835401677848049
462,0.8215195697141
463,0.807646119786763
464,0.79096436764138
465,0.773334066832556
466,0.753824109457812
467,0.732434858176978
468,0.709166827221615
469,0.684948201489972
470,0.659780602025278
471,0.634593409974267
472,0.609387267558737
473,0.584165787651366
474,0.558959231346172
475,0.534647910619447
476,0.510368672315985
477,0.487962285619094
478,0.466548091571689
479,0.446100573397174
480,0.426716589623759
481,0.40935059008783
482,0.393098420105872
483,0.378092867918131
484,0.363554256479418
485,0.350533669846582
486,0.339086948932287
487,0.329310682586896
488,0.320614274097455
489,0.313590544073043
490,0.308023360609237
491,0.303944930866619
492,0.300402153679169
493,0.297496012020283
494,0.295019453903697
495,0.292697362789104
496,0.290572009975502
497,0.288473688031979
498,0.286371765590061
499,0.284296817642076
500,0.282150439295808
501,0.279943464121597
502,0.277657771215491
503,0.275281658225089
504,0.27280655071667
505,0.270226759953257
506,0.267535410604706
507,0.264731530744947
508,0.261812214746702
509,0.258776706764199
510,0.255622919292001
511,0.252351865120972
512,0.248963685649324
513,0.245458810923952
514,0.241840061659888
515,0.238108669250129
516,0.234268469276111
517,0.230322712692332
518,0.226274728284145
519,0.222128551614533
520,0.217889383244426
521,0.213561845210968
522,0.20915044724441
523,0.204660910759438
524,0.200100026835801
525,0.195472777501093
526,0.190785757085346
527,0.186046565129591
528,0.181260889494383
529,0.176436454502763
530,0.171580107624288
531,0.166699754183622
532,0.161802874768584
533,0.156897366173889
534,0.151991125388442
535,0.147092412196322
536,0.142210339571791
537,0.137353011694317
538,0.132529496051662
539,0.127749351227484
540,0.123020905055078
541,0.118353407295335
542,0.11375887283096
543,0.109245837394067
544,0.104828962884386
545,0.100517351057207
546,0.0963231748174882
547,0.0922643456419436
548,0.0883566682608467
549,0.0846841378147651
550,0.0812312875867118
551,0.0780112355927138
552,0.0750555568912112
553,0.0723774123803187
554,0.0699432123417043
555,0.067729974126524
556,0.0657067732775211
557,0.0638395363634415
558,0.062119165695372
559,0.0604916863582663
560,0.0589602799724938
561,0.0575317837251043
562,0.0561397232586575
563,0.0547988017504667
564,0.0535030139906142
565,0.0522478100419672
566,0.0510005703997425
567,0.0497614933300536
568,0.0485568872961527
